2G Site ID,Region,Latitude,Longitude,Final DG,Guarded/Unguarded
S-7866,South III,26.311504,67.221549,DG,Guarded
N-5543,North II,34.03193,71.59037,Non DG,Un Guarded
4683,Central II,30.70385,72.5738,DG,Guarded
5199,Central III,31.17845,71.21444,DG,Guarded
S-7727,South III,27.07557,65.09857,DG,Un Guarded
S-7963,South I,24.9254,67.03405,Non DG,Un Guarded
9211,South I,25.04507,67.01807,DG,Guarded
N-3057,North I,33.67609,73.01407,Non DG,Un Guarded
S-4232,South I,24.91357,67.01372,Non DG,Un Guarded
5656,Central III,30.17671,70.62337,DG,Guarded
3773,Central I,32.34913,75.06413,DG,Guarded
S-4231,South I,24.88659,67.14558,Non DG,Un Guarded
CI-1162,Central I,31.463,74.2879,Non DG,Un Guarded
5797,Central III,30.05192,70.65142,Non DG,Un Guarded
9000,South I,25.019472222,67.130666667,DG,Un Guarded
N-4147,North I,34.16894,73.25577,Non DG,Un Guarded
N-5544,North II,33.97362,71.4625,Non DG,Un Guarded
N-4949,North II,34.16911,71.59862,DG,Guarded
2693,North I,34.15124,73.19798,Non DG,Un Guarded
7732,Central I,32.315725,74.510925,Non DG,Un Guarded
CI-1336,Central I,32.67003,74.40683,Non DG,Un Guarded
2047,North I,33.56529,73.04557,DG,Guarded
8115,North I,33.6592,73.0192,DG,Guarded
8699,North II,34.6137,72.01934,Non DG,Un Guarded
DTE Mardan,North II,34.19437,72.03644,Non DG,Un Guarded
6358,South I,24.82004,67.1986,Non DG,Un Guarded
5295,Central III,30.05589,73.20059,DG,Guarded
8363,North I,33.63946,73.07551,Non DG,Un Guarded
7754,Central I,32.47574,74.54846,DG,Guarded
3029,Central I,31.53791,74.29621,Non DG,Un Guarded
7107,Central I,31.5044,74.42318,DG,Guarded
5665,Central III,30.20923,70.64834,DG,Guarded
6785,South II,27.58576,67.99836,Non DG,Un Guarded
4740,Central II,31.03014,73.12899,DG,Guarded
5995,Central III,29.381,71.71648,Non DG,Un Guarded
7026,Central I,31.53511,74.36856,DG,Guarded
6060,South I,24.92953,67.12108,DG,Guarded
N-5081,North II,34.148,71.162,Non DG,Un Guarded
1530,Central III,28.42344,69.91389,DG,Guarded
8583,North II,32.97929,70.58023,DG,Guarded
CI-1589,Central I,31.47294,74.37784,Non DG,Un Guarded
7556,Central I,31.5152,74.3292,Non DG,Un Guarded
1442,South III,30.927896,66.446628,Non DG,Un Guarded
S-3370,South I,24.77723,67.08786,Non DG,Un Guarded
CI-1338,Central I,32.60749,74.0864,DG,Un Guarded
9304,South I,24.89705,67.03234,DG,Un Guarded
2698,North I,33.7879,72.36023,Non DG,Un Guarded
8432,North I,33.68879,72.99215,Non DG,Un Guarded
2815,North I,33.7659,72.7299,Non DG,Un Guarded
9892,South II,25.3878,68.67772,Non DG,Un Guarded
8972,North I,33.08246,73.75334,DG,Guarded
2454,North II,34.23094,72.22785,DG,Guarded
7355,Central I,31.57921,74.31853,Non DG,Un Guarded
2212,North I,32.65409,73.23731,DG,Guarded
4666,Central III,30.04017,72.33043,DG,Guarded
9242,South I,25.02831,67.07145,DG,Guarded
8091,North I,33.58133,73.05899,Non DG,Un Guarded
4783,Central II,31.55583,73.42774,Non DG,Un Guarded
4630,Central III,29.19578,72.85549,DG,Guarded
9385,South I,24.85756,67.00674,Non DG,Guarded
9010,South I,24.87438,67.0485,Non DG,Un Guarded
4182,Central III,30.0576088,70.63702184,DG,Guarded
5571,Central III,29.48411,71.29876,DG,Un Guarded
3G-CII-3545,Central II,31.81606,70.90405,Non DG,Un Guarded
4417,Central II,30.49658,73.05441,DG,Guarded
N-4643,North I,33.68338,72.98729,Non DG,Un Guarded
8671,North II,34.003416,71.600802,Non DG,Un Guarded
4622,Central III,30.00322,73.26533,DG,Guarded
S-3563,South III,30.86729,68.76102,DG,Guarded
3005,Central I,31.51218,74.27349,DG,Un Guarded
8965,North I,33.34196,73.68483,DG,Guarded
7514,Central I,31.5746,74.31159,Non DG,Un Guarded
4500,Central II,30.80516,73.43692,Non DG,Un Guarded
2087,North I,33.64892,73.21731,DG,Guarded
6261,South I,24.99089,67.06741,Non DG,Un Guarded
S-3175,South III,27.80001,66.59816,DG,Guarded
8139,North I,33.55076,73.02239,DG,Un Guarded
1061,South I,24.95652,67.05164,DG,Un Guarded
7996,Central I,31.46839,74.2894,Non DG,Un Guarded
1571,South II,27.5897,68.01122,DG,Guarded
8027,North I,33.68253,72.9805,DG,Guarded
N-4020,North II,33.01182,70.55963,DG,Guarded
7207,Central I,31.55271,74.41331,DG,Guarded
2500,North I,33.5507,73.2057,DG,Un Guarded
6381,South I,24.90473,66.99142,Non DG,Un Guarded
3G-N-1664,North I,34.1751,73.2211,Non DG,Un Guarded
3227,Central I,31.581,74.3157,Non DG,Un Guarded
5352,Central III,30.09294,72.5036,Non DG,Guarded
9345,South I,24.83688,67.22443,DG,Guarded
2099,North I,33.60255,73.03835,DG,Un Guarded
3508,Central I,31.70287,73.98895,DG,Guarded
5191,Central III,30.477,70.96922,DG,Guarded
1604,South II,26.25554,68.40261,DG,Guarded
4624,Central III,29.99489,73.25108,DG,Guarded
3955,Central I,32.14341,74.26448,DG,Guarded
8835,North I,33.59355,73.02735,Non DG,Un Guarded
7885,Central I,32.84756,74.06229,Non DG,Un Guarded
3702,Central I,32.3098,74.32349,DG,Guarded
5554,Central II,30.47355,73.59798,Non DG,Un Guarded
8034,North I,33.68821,73.0261,DG,Guarded
2827,North I,33.76401,72.80871,DG,Guarded
2165,North II,33.98288,71.47904,DG,Guarded
2909,North II,34.18812,72.03293,DG,Guarded
N-5603,North II,33.21363,71.15846,DG,Guarded
6831,Central II,31.41795,73.07935,Non DG,Un Guarded
CI-1646,Central I,31.47031,74.34113,Non DG,Un Guarded
3801,Central I,31.89445,73.57464,DG,Guarded
6243,South I,24.98993,67.0546,Non DG,Un Guarded
S-3373,South III,30.73975,66.92529,Non DG,Un Guarded
4638,Central III,30.2471,73.70129,Non DG,Un Guarded
1106,South II,25.392361111,68.380305556,DG,Un Guarded
1370,South II,27.18095,67.82297,Non DG,Un Guarded
1567,South II,28.00751,67.84744,DG,Guarded
9745,South II,27.3015,68.61214,DG,Un Guarded
2264,North I,33.26844,72.87808,DG,Guarded
6192,South I,24.91208,67.12177,Non DG,Un Guarded
S-7252,South III,30.39875,68.62673,Non DG,Un Guarded
1025,South I,24.8095,67.062888889,DG,Guarded
2419,North I,34.00658,73.08513,DG,Guarded
3660,Central I,32.64766,74.21196,DG,Guarded
CI-1058,Central I,31.60402,73.86751,Non DG,Un Guarded
2910,North II,34.12883,72.47435,DG,Guarded
N-4960,North II,34.07299,71.21788,Non DG,Un Guarded
2251,North I,32.94111,73.7251,Non DG,Un Guarded
N-4709,North II,33.99972,71.37433,Non DG,Un Guarded
3169,Central I,31.6319,74.2851,DG,Guarded
5674,Central III,29.74148,70.63606,Non DG,Un Guarded
N-5890,North II,33.99178,71.46139,Non DG,Un Guarded
6062,South I,24.85528,67.06391,Non DG,Un Guarded
S-7351,South III,30.1771,67.009,Non DG,Un Guarded
S-7356,South III,30.1254,66.9752,Non DG,Un Guarded
N-4327,North I,33.651013,73.202491,Non DG,Un Guarded
S-7368,South III,30.15732,66.98471,Non DG,Un Guarded
S-7360,South III,30.205042,66.984592,Non DG,Un Guarded
3564,Central I,31.11046,74.45141,DG,Guarded
35-SU-KHI-800-1000,South I,24.865232,67.064769,Non DG,Un Guarded
5282,Central III,30.15058,72.674,DG,Guarded
CII-2459,Central I,32.50206,72.98287,Non DG,Un Guarded
4590,Central III,29.696,72.55562,Non DG,Un Guarded
2533,North I,33.13211,73.25903,Non DG,Un Guarded
UKTR02,South III,29.30056,66.89125,Non DG,Un Guarded
6932,Central III,29.46959,71.64822,Non DG,Un Guarded
7143,Central I,31.5329,74.41935,Non DG,Un Guarded
4330,Central II,31.78055,70.86807,DG,Guarded
S-7546,South III,29.75275,68.80875,DG,Guarded
3496,Central I,32.37635,74.52112,DG,Guarded
S-3794,South III,27.2939,63.3739,DG,Guarded
1236,South II,28.28791,68.43948,DG,Guarded
9521,South I,24.93173,67.00477,DG,Guarded
S-3628,South III,29.20162,66.47896,DG,Guarded
8635,North I,34.18947,73.25025,Non DG,Un Guarded
2940,North II,34.00368,71.98339,DG,Guarded
S-3833,South I,24.82156,67.02661,Non DG,Un Guarded
CI-1129,Central I,31.58446,74.36458,Non DG,Un Guarded
4900,Central II,31.34797,71.69588,DG,Guarded
5424,Central III,28.305692,70.132162,Non DG,Un Guarded
6226,South I,24.98201,67.08467,Non DG,Un Guarded
CI-1629,Central I,31.55862,74.32348,Non DG,Un Guarded
1629,South II,28.05049,69.70505,DG,Guarded
5657,Central III,30.139056,70.625917,Non DG,Un Guarded
1650,South II,27.80914,69.13142,DG,Guarded
S-3569,South III,30.20325,68.99429,DG,Guarded
4637,Central III,30.28413,73.78358,DG,Guarded
5180,Central II,32.84671,71.3623,Non DG,Un Guarded
5058,Central III,30.27355,71.95588,DG,Guarded
2904,North II,34.19896,72.02939,DG,Guarded
S-7591,South III,29.467,66.3281,DG,Un Guarded
3870,Central I,32.48133,72.9054,DG,Un Guarded
9405,South I,24.94888,67.00807,DG,Guarded
8222,North I,33.65017,72.9631,DG,Guarded
1766,South II,25.36216,69.72886,DG,Guarded
N-4505,North II,34.73924,72.42233,Non DG,Un Guarded
8945,North I,33.34832,73.80183,DG,Guarded
6388,South I,24.87792,66.91083,Non DG,Guarded
4886,Central III,29.22241,71.43509,Non DG,Guarded
3141,Central I,31.45219,74.36304,Non DG,Un Guarded
CI-1101,Central I,31.12745,74.45014,Non DG,Un Guarded
7620,Central I,31.24496,74.2095,DG,Guarded
9455,South II,25.25617,67.96218,DG,Guarded
1136,South II,25.37513,68.335,Non DG,Guarded
4123,Central III,30.2145,71.47764,DG,Guarded
7125,Central I,31.47967,74.3526,Non DG,Un Guarded
1592,South II,28.23753,69.18458,DG,Guarded
4396,Central III,28.98875,71.66024,Non DG,Guarded
3961,Central I,31.52695,74.37721,Non DG,Un Guarded
3G-N-1663,North I,34.20688,73.23966,Non DG,Un Guarded
6177,South I,24.904337,67.120515,Non DG,Un Guarded
5127,Central II,31.80673,70.88969,DG,Guarded
4427,Central III,30.44221,72.36279,Non DG,Un Guarded
3G-CII-3642,Central II,31.74814,72.91977,Non DG,Un Guarded
6217,South I,24.80005,67.06937,Non DG,Un Guarded
5220,Central III,29.60977,73.14579,DG,Guarded
4443,Central III,30.40739,71.85672,Non DG,Un Guarded
3908,Central I,31.65286,74.3008,DG,Guarded
8318,North I,33.61165,73.05655,Non DG,Un Guarded
N-4277,North II,34.51171,72.28847,Non DG,Un Guarded
5854,Central III,30.19419,71.4372,Non DG,Un Guarded
5169,Central II,32.39833,72.03094,DG,Guarded
4207,Central II,31.14584,72.68638,Non DG,Un Guarded
N-5501,North II,33.58962,71.4412,Non DG,Un Guarded
3482,Central I,32.33538,74.35228,Non DG,Un Guarded
9376,South I,24.96109,67.07299,DG,Guarded
2067,North I,33.57127,73.14493,DG,Guarded
S-7006,South I,24.802837,67.053703,Non DG,Un Guarded
1618,South II,26.45656,68.31799,DG,Guarded
S-3938,South III,29.0782,65.8036,DG,Guarded
1307,South I,24.97224,67.06115,DG,Guarded
S-3939,South III,28.72439,65.83917,DG,Guarded
6947,Central II,31.99911,72.85165,DG,Guarded
S-3940,South III,28.9051,65.6509,DG,Guarded
S-3941,South III,28.9373,65.455,DG,Guarded
6602,North II,32.98673,70.618,Non DG,Un Guarded
S-3961,South III,28.3129,64.2487,DG,Guarded
1281,South II,27.1745,67.828,Non DG,Un Guarded
S-3962,South III,28.30737,64.50681,DG,Guarded
4743,Central II,30.90003,72.72645,DG,Un Guarded
S-3963,South III,28.2954,65.7061,DG,Guarded
